"","S1.CEL.gz","S2.CEL.gz","S3.CEL.gz","S4.CEL.gz","S5.CEL.gz","S6.CEL.gz","S7.CEL.gz"
"RGS7BP",3.8802155116642,4.65630186929153,4.71948758857142,4.29428978001555,3.87059271882731,4.01801462324689,4.54277499995373
"RRS1-DT",1.84504077910628,2.14122318289863,2.28229172271124,2.13275969813098,2.14122318289863,2.18712427186196,2.46469227550858
"LINC01010",5.83289199326294,5.62846201682895,5.68825736940628,5.85063966230564,5.64162084819893,5.68825736940628,5.99586232424007
"PRR9",6.72000335233475,4.40565565820505,4.44156709203572,4.29377501979512,4.4016432892085,4.43895946278374,5.05026099594127
"BGLT3",6.39580754222897,6.00982107881938,6.00302155390419,6.30101079344154,6.43772882742286,6.30101079344154,6.58323097261388
"SCGB2B2",4.84336251382278,4.84336251382278,4.84336251382278,4.68438557191685,4.84336251382278,4.8917080046399,5.07654464136438
"TCF4-AS1",3.07046591672444,3.17807872965813,3.18159771986093,3.29161152901532,3.25495572326469,3.08671994409971,3.17807872965813
"LINC01364",3.65605146755669,3.51090361994676,3.36127585851113,3.54879171355709,3.54879171355709,3.54879171355709,3.42434904603787
"HDAC4-AS1",6.07004725497594,5.98686998374879,5.86283115843901,6.00302155390419,6.00302155390419,6.00302155390419,5.71347880752499
"SLC25A47",6.37488861388498,6.02248535372518,5.85723547866575,6.10834303674767,6.23462642526955,6.10834303674767,6.31794011176341
"SNHG27",2.5548170899277,2.57592103261325,2.57592103261325,2.57592103261325,2.70743204825783,2.34261294545287,2.57592103261325
"HORMAD2",5.29561477819151,5.28467492882403,5.29561477819151,4.96539893757793,5.20353539537209,5.38132609920418,5.85063966230564
"PLAC8L1",5.05026099594127,4.73123412525073,4.82030859442688,5.05026099594127,5.21488335621915,5.05026099594127,5.05026099594127
"TENT5C-DT",4.99963412151475,4.93133257644481,4.71967791019126,4.98947316881836,5.03266843967485,4.98947316881836,4.9259290130592
"DHCR24-DT",4.69992300744486,4.88130293374098,4.75462735570114,4.75462735570114,4.74697714634174,4.76468243892127,4.97560680922309
"SCP2D1-AS1",5.20353539537209,5.02209133036078,5.16996780913476,5.00606201086827,5.802874931531,5.32918674802364,5.34602053987191
"SLC22A12",5.45676626763365,5.27066956623308,5.4057083755823,5.62872833210065,5.45676626763365,5.54110444736203,5.45676626763365
"SPATA12",5.00229005226351,5.61943773921956,5.22317333576428,5.31322490238427,5.15808169118251,5.29205714900679,5.4459077531295
"MICD",5.73156833144026,5.59205593905048,5.63533677112303,5.46332789833465,5.61919551389282,5.59205593905048,5.59205593905048
"FAM205C",4.952255018272,5.04941098065477,5.17839369758407,4.89697394591638,5.35483359000119,5.17529509120039,5.59357092128631
"LINC01118",5.47795240442394,5.35228168835287,5.32352076084611,5.60023146982818,5.70667204315879,5.33980712214693,5.62284363715866
"KRTAP10-4",5.21120994309775,6.05141704406691,5.90788039907382,6.10493041071193,5.59326526445902,5.43624513616778,6.15841000636419
"KRTAP10-12",5.21120994309775,6.05141704406691,5.90788039907382,6.10493041071193,5.59326526445902,5.43624513616778,6.15841000636419
"LINC01883",3.75097541604273,3.92217287590223,3.86745722648538,3.77303916003596,3.86745722648538,3.86745722648538,4.22953196886435
"MIR372",6.07911023877918,5.77669060396588,5.63547917160593,5.92375792867013,6.11867125416377,6.17522185912013,5.93753392184381
"MIR373",6.07911023877918,5.77669060396588,5.63547917160593,5.92375792867013,6.11867125416377,6.17522185912013,5.93753392184381
"SOX21-AS1",2.50639873254784,2.57592103261325,2.57592103261325,2.5888703543653,2.65924142114186,2.55376060501165,3.12617744856597
"C3orf22",5.51429934783253,5.26108273201763,5.30379168640783,5.23836061854415,5.4059097533088,5.51565128401198,5.39691926914476
"EDDM13",4.9166654020742,4.85346846170344,4.85346846170344,4.74697714634174,5.25770526348214,4.92652305821392,4.85346846170344
"KRT25",3.31181863881737,2.8925986622842,2.97151812574741,3.22180703047226,2.94518997015112,3.05723690927757,3.05723690927757
"ADAM6",4.97562402172321,4.98034339340559,4.94959419349106,5.11253216384359,5.48128460211872,5.02365435543956,5.41824256301433
"RBM12B",2.93355866363186,2.77458172172593,3.11053302960917,2.91778985250573,3.2424951792251,2.87722494244879,2.87722494244879
"C17orf50",5.6272391940693,5.40843580812179,5.32953900682786,5.45008665845866,5.67206420407803,5.57372582742429,5.76227008801493
"LINC02981",3.08671994409971,3.02637687212854,2.95111384346792,2.9946200654428,3.02637687212854,3.11730948880322,3.13072164903475
"XACT",4.12178204440768,3.95797343759734,3.71845340229424,4.04717795526088,3.89207964617264,3.95493840791312,4.34133209750501
"DIRC3-AS1",4.01424977427303,3.82360634234289,3.82312200039133,4.00347793014738,3.9908604250102,3.9908604250102,4.04270249948815
"SNRK-AS1",3.7235811281191,3.67862423677621,3.96948043335031,3.39739017632687,3.61828136462018,3.52334687314076,3.89854080665563
"SNORD113-3",3.08671994409971,3.03494035396615,2.72443209573452,2.96177975593195,3.51396446160276,3.08671994409971,3.28563780107894
"ABHD12B",4.65478368964067,3.95422933406545,2.98851471044006,2.90594615759338,3.68658239102603,3.88811038267781,7.71787497422961
"LINC00347",3.02617962902335,2.77982971494943,2.77982971494943,2.70814030368481,2.77982971494943,2.97548318643249,2.69935663637874
"LINC01921",3.08212268824533,3.12590900893333,3.09609181088063,3.09609181088063,3.09609181088063,3.22780433165444,3.08778354377493
"KCTD6",6.26077582478707,6.54046300784188,6.49202263157209,7.03647078291929,6.00293354649859,6.37943829119865,5.67322434591054
"HEPACAM",4.54993310432178,4.42261486778533,5.19910683994326,4.77582718579073,4.59678766094791,4.69575771773122,4.60035770987752
"PGBD2",6.26188762025739,6.50860565746931,6.39855488718106,6.60872430432787,6.35236322413082,6.6386623255648,6.14633694356576
"PRR18",5.4823839977394,5.20522936519295,5.54940056710552,5.4823839977394,5.4823839977394,5.4823839977394,5.85297263463491
"NEMP2",5.14593845116071,5.14066337896527,4.89954570148518,5.58719080961538,4.93754654056361,5.3672677724085,5.1329970457544
"SDR16C5",7.61712172397617,8.57954855577976,6.69681268302605,3.92170002299786,4.55525554101748,7.91710714504695,8.02533863883185
"ALKAL2",6.47097950868971,6.47097950868971,7.13124131639831,6.2868384345048,6.06491086667403,6.63338816757613,5.82449418236129
"CRNDE",5.56574252093888,4.80051422570622,4.57434369251288,9.22809817924251,4.60034842719529,4.23543195302096,5.5449093832448
"MLKL",8.39420366324493,8.6832508624343,8.10893070227717,8.11472105282426,8.83810404116413,8.62202004957595,8.21583088902016
"C6orf132",6.72974554584741,7.21729418670351,6.43103242264426,7.61742191083249,5.72996308331468,7.03117076290396,7.1715821847248
"SLC16A14",7.30656102098945,6.82807962913742,7.60573021732461,7.81738697621598,6.27883991527241,7.57951988461649,8.04043789054045
"CD2BP2-DT",4.88187272035618,5.63118440213294,4.64569855653641,5.23791553041701,4.62967507435281,5.1020468462004,5.02764241108588
"SCAMP1-AS1",7.75642271248439,7.85068040026211,8.06334055262614,7.534525926619,7.95393267256699,8.41874516267561,7.90339923124016
"TMEM65",5.94995778711741,6.18772086230828,5.89979457669664,6.18115727336892,5.54759505612815,5.89979457669664,5.65672114133838
"ARHGAP36",2.99287586008387,2.55819839507694,2.56983071397786,3.07217597928845,3.4220775692677,2.99287586008387,3.15021891008185
"ATP8B1-AS1",6.041077939982,6.3490282421186,5.82817114669874,5.53708469494167,6.41712348103112,6.25253957422224,5.87255420945235
"PRR34-AS1",8.03598749068389,8.26249953684228,7.92656143592856,7.2287352401153,7.98913742432769,7.98913742432769,8.3644606055373
